latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-41.62,147.816,369,1.3,1.1,2020-01-13,0355,A,100,6.0NRT,301.1,143.6,D
-41.622,147.801,357.6,1.3,1.1,2020-01-13,0355,A,99,6.0NRT,301.1,101.3,D
-41.61,147.814,375.9,1.3,1.1,2020-01-13,0355,A,100,6.0NRT,303.9,180.8,D
-41.612,147.8,324.5,1.3,1.1,2020-01-13,0355,A,60,6.0NRT,297.5,23.4,D
-41.613,147.785,320.1,1.3,1.1,2020-01-13,0355,A,48,6.0NRT,296.4,18.8,D
-41.6,147.813,335.1,1.3,1.1,2020-01-13,0355,A,61,6.0NRT,300.7,38.5,D
-41.602,147.798,326.9,1.3,1.1,2020-01-13,0355,A,33,6.0NRT,296.2,25.9,D
-37.78,149.163,476.4,1,1,2020-01-13,0355,A,100,6.0NRT,321.2,0,D
-37.773,148.873,352.9,1.1,1,2020-01-13,0355,A,61,6.0NRT,297.6,65.1,D
-37.774,148.861,440.4,1.1,1,2020-01-13,0355,A,57,6.0NRT,312.3,638.7,D
-37.776,148.848,414.6,1.1,1,2020-01-13,0355,A,0,6.0NRT,306.6,376.4,D
-37.712,149.265,333.3,1,1,2020-01-13,0355,A,85,6.0NRT,296.8,29.3,D
-37.714,149.253,327.6,1,1,2020-01-13,0355,A,49,6.0NRT,297.3,18.9,D
-37.72,149.206,347.3,1,1,2020-01-13,0355,A,90,6.0NRT,299.4,49.8,D
-37.721,149.194,347.3,1,1,2020-01-13,0355,A,94,6.0NRT,297.9,52.9,D
-37.734,149.099,384.8,1,1,2020-01-13,0355,A,82,6.0NRT,304.7,177.1,D
-37.735,149.087,374.1,1,1,2020-01-13,0355,A,100,6.0NRT,302.9,130.1,D
-37.737,149.075,387.2,1,1,2020-01-13,0355,A,100,6.0NRT,306.5,187.8,D
-37.738,149.063,401.4,1,1,2020-01-13,0355,A,100,6.0NRT,314.8,269.6,D
-37.74,149.051,461.5,1,1,2020-01-13,0355,A,94,6.0NRT,330.6,922.9,D
-37.742,149.039,421.2,1,1,2020-01-13,0355,A,82,6.0NRT,312.3,425.6,D
-37.745,149.015,316.3,1,1,2020-01-13,0355,A,35,6.0NRT,296.5,8.9,D
-37.76,148.895,321.5,1.1,1,2020-01-13,0355,A,66,6.0NRT,297.1,15.3,D
-37.762,148.883,337.9,1.1,1,2020-01-13,0355,A,88,6.0NRT,298.7,37.9,D
-37.763,148.871,362.6,1.1,1,2020-01-13,0355,A,100,6.0NRT,300.7,93.2,D
-37.765,148.859,348.7,1.1,1,2020-01-13,0355,A,94,6.0NRT,298.5,59.1,D
-37.703,149.263,334.9,1,1,2020-01-13,0355,A,86,6.0NRT,297,32.2,D
-37.704,149.251,350.9,1,1,2020-01-13,0355,A,96,6.0NRT,299.7,60.1,D
-37.706,149.239,329,1,1,2020-01-13,0355,A,40,6.0NRT,298.4,20.3,D
-37.709,149.215,355.4,1,1,2020-01-13,0355,A,98,6.0NRT,299.4,70.6,D
-37.711,149.204,350.9,1,1,2020-01-13,0355,A,96,6.0NRT,298.2,59.9,D
-37.72,149.132,316.1,1,1,2020-01-13,0355,A,33,6.0NRT,296.2,8.8,D
-37.721,149.12,325.5,1,1,2020-01-13,0355,A,0,6.0NRT,296,18.6,D
-37.723,149.109,350.9,1,1,2020-01-13,0355,A,0,6.0NRT,299.2,60.1,D
-37.725,149.097,350.2,1,1,2020-01-13,0355,A,83,6.0NRT,302.1,58.8,D
-37.726,149.085,316.6,1,1,2020-01-13,0355,A,64,6.0NRT,298.7,7.8,D
-37.728,149.073,316.6,1,1,2020-01-13,0355,A,64,6.0NRT,298.4,7.8,D
-37.729,149.061,338.2,1,1,2020-01-13,0355,A,88,6.0NRT,300,35.1,D
-37.731,149.049,354.5,1,1,2020-01-13,0355,A,92,6.0NRT,301.8,69.4,D
-37.697,149.237,348.2,1,1,2020-01-13,0355,A,94,6.0NRT,298.9,55.4,D
-37.708,149.154,315.3,1,1,2020-01-13,0355,A,36,6.0NRT,295.6,8.4,D
-37.709,149.142,341.6,1,1,2020-01-13,0355,A,91,6.0NRT,298.9,43.1,D
-37.711,149.13,329.5,1,1,2020-01-13,0355,A,77,6.0NRT,298.5,23.2,D
-37.731,148.975,335,1.1,1,2020-01-13,0355,A,86,6.0NRT,298.1,31.2,D
-37.732,148.963,316.4,1.1,1,2020-01-13,0355,A,32,6.0NRT,297.3,9.5,D
-37.697,149.164,347.2,1,1,2020-01-13,0355,A,94,6.0NRT,298.6,54.3,D
-37.698,149.152,331.3,1,1,2020-01-13,0355,A,83,6.0NRT,297.7,26.2,D
-37.723,148.961,339.3,1.1,1,2020-01-13,0355,A,70,6.0NRT,298.5,36.8,D
-37.725,148.949,328.1,1.1,1,2020-01-13,0355,A,51,6.0NRT,297.4,21.7,D
-37.709,148.995,380.6,1,1,2020-01-13,0355,A,100,6.0NRT,304.3,157.6,D
-37.711,148.984,347.9,1.1,1,2020-01-13,0355,A,76,6.0NRT,300,50,D
-37.673,149.226,326.5,1,1,2020-01-13,0355,A,41,6.0NRT,296.9,18.6,D
-37.703,149.001,346.1,1,1,2020-01-13,0355,A,34,6.0NRT,299.7,46.8,D
-37.705,148.989,372.4,1,1,2020-01-13,0355,A,57,6.0NRT,304.8,124.8,D
-37.708,148.965,324,1.1,1,2020-01-13,0355,A,19,6.0NRT,297.2,16.7,D
-37.709,148.953,319.6,1.1,1,2020-01-13,0355,A,18,6.0NRT,296.6,12.5,D
-37.663,149.236,321.6,1,1,2020-01-13,0355,A,22,6.0NRT,296.6,13.7,D
-37.664,149.225,323.3,1,1,2020-01-13,0355,A,28,6.0NRT,297.9,15.2,D
-37.697,148.975,352.2,1.1,1,2020-01-13,0355,A,70,6.0NRT,299.9,60.5,D
-37.698,148.963,358.4,1.1,1,2020-01-13,0355,A,99,6.0NRT,300.1,79.2,D
-37.686,148.985,344.7,1,1,2020-01-13,0355,A,73,6.0NRT,298.2,45.1,D
-37.688,148.973,354.9,1.1,1,2020-01-13,0355,A,87,6.0NRT,298.5,67.9,D
-37.689,148.961,331.5,1.1,1,2020-01-13,0355,A,36,6.0NRT,297.3,25,D
-37.703,148.853,385.7,1.1,1,2020-01-13,0355,A,100,6.0NRT,300.3,186.3,D
-37.705,148.841,417,1.1,1,2020-01-13,0355,A,100,6.0NRT,310.5,396.3,D
-37.644,149.232,324.6,1,1,2020-01-13,0355,A,33,6.0NRT,297.3,16.8,D
-37.691,148.875,344.1,1.1,1,2020-01-13,0355,A,92,6.0NRT,298.2,47.9,D
-37.692,148.863,361.9,1.1,1,2020-01-13,0355,A,100,6.0NRT,302.6,91.8,D
-37.694,148.851,359.5,1.1,1,2020-01-13,0355,A,99,6.0NRT,302.5,82.6,D
-37.695,148.839,344.4,1.1,1,2020-01-13,0355,A,92,6.0NRT,300.6,47.4,D
-37.697,148.827,323.8,1.1,1,2020-01-13,0355,A,39,6.0NRT,299.8,15.7,D
-37.635,149.231,320.8,1,1,2020-01-13,0355,A,50,6.0NRT,297.5,13.3,D
-37.666,148.993,321.7,1,1,2020-01-13,0355,A,43,6.0NRT,298,13.1,D
-37.678,148.897,321.1,1.1,1,2020-01-13,0355,A,53,6.0NRT,296.8,14,D
-37.68,148.885,367.4,1.1,1,2020-01-13,0355,A,100,6.0NRT,303.3,110.2,D
-37.681,148.873,366.1,1.1,1,2020-01-13,0355,A,100,6.0NRT,303.6,104.5,D
-37.683,148.861,345.1,1.1,1,2020-01-13,0355,A,92,6.0NRT,300.6,49.2,D
-37.685,148.849,349.4,1.1,1,2020-01-13,0355,A,95,6.0NRT,299.4,56.3,D
-37.686,148.837,353.7,1.1,1,2020-01-13,0355,A,97,6.0NRT,300.1,67.2,D
-37.688,148.825,333.6,1.1,1,2020-01-13,0355,A,78,6.0NRT,299.3,27.7,D
-37.689,148.813,326.4,1.1,1,2020-01-13,0355,A,48,6.0NRT,299.5,18.5,D
-38.1,145.161,320.2,1.6,1.2,2020-01-13,0355,A,55,6.0NRT,303.3,10,D
-37.641,149.11,320.5,1,1,2020-01-13,0355,A,71,6.0NRT,298.7,12.1,D
-37.657,148.992,328.5,1,1,2020-01-13,0355,A,59,6.0NRT,298.7,20.2,D
-37.658,148.98,325.1,1,1,2020-01-13,0355,A,49,6.0NRT,297.6,16.6,D
-37.668,148.907,328.3,1.1,1,2020-01-13,0355,A,66,6.0NRT,298.6,21.1,D
